unit,indic_is,ind_type,geo\time	2011 	2013 	2015 
PC_IND,I_IUWIKI,STUD,LT	76 	78 	73 
PC_IND,I_IUWIKI,STUD,LU	93 	95 	89 
PC_IND,I_IUWIKI,STUD,LV	79 	58 	71 
PC_IND,I_IUWIKI,STUD,MK	: 	45 	48 
PC_IND,I_IUWIKI,STUD,MT	86 	76 	84 
PC_IND,I_IUWIKI,STUD,NL	80 	87 	87 
PC_IND,I_IUWIKI,STUD,NO	95 	94 	88 
PC_IND,I_IUWIKI,STUD,PL	66 	68 	69 
PC_IND,I_IUWIKI,STUD,PT	84 	86 	88 
PC_IND,I_IUWIKI,STUD,RO	52 	50 	44 
PC_IND,I_IUWIKI,STUD,RS	: 	: 	72 
PC_IND,I_IUWIKI,STUD,SE	89 	88 	88 
PC_IND,I_IUWIKI,STUD,SI	86 	90 	80 
PC_IND,I_IUWIKI,STUD,SK	69 	68 	67 
PC_IND,I_IUWIKI,STUD,TR	: 	38 	60 
PC_IND,I_IUWIKI,STUD,UK	65 	71 	69 
PC_IND,I_IUWIKI,UNE,AT	54 	57 	55 
PC_IND,I_IUWIKI,UNE,BE	20 	30 	38 
PC_IND,I_IUWIKI,UNE,BG	6 	5 	10 
PC_IND,I_IUWIKI,UNE,CY	22 	26 	39 
PC_IND,I_IUWIKI,UNE,CZ	17 	21 	28 
PC_IND,I_IUWIKI,UNE,DE	46 	52 	54 
PC_IND,I_IUWIKI,UNE,DK	: u	52 	62 u
PC_IND,I_IUWIKI,UNE,EA	34 	40 	40 
PC_IND,I_IUWIKI,UNE,EE	39 	44 	51 
PC_IND,I_IUWIKI,UNE,EL	27 	32 	34 
PC_IND,I_IUWIKI,UNE,ES	32 	39 	49 
PC_IND,I_IUWIKI,UNE,EU27_2007	31 	36 	38 
PC_IND,I_IUWIKI,UNE,EU27_2020	30 	36 	38 
PC_IND,I_IUWIKI,UNE,EU28	31 	36 	38 
PC_IND,I_IUWIKI,UNE,FI	62 	69 	72 
PC_IND,I_IUWIKI,UNE,FR	34 	47 	25 
PC_IND,I_IUWIKI,UNE,HR	20 	31 	41 
PC_IND,I_IUWIKI,UNE,HU	19 	20 	31 
PC_IND,I_IUWIKI,UNE,IE	15 	20 	17 
PC_IND,I_IUWIKI,UNE,IS	41 	64 	: 
PC_IND,I_IUWIKI,UNE,IT	28 	33 	36 
PC_IND,I_IUWIKI,UNE,LT	14 	17 	19 
PC_IND,I_IUWIKI,UNE,LU	49 	70 u	71 u
PC_IND,I_IUWIKI,UNE,LV	23 	17 	13 
PC_IND,I_IUWIKI,UNE,MK	: 	10 	21 
PC_IND,I_IUWIKI,UNE,MT	20 	28 	49 u
PC_IND,I_IUWIKI,UNE,NL	59 	64 	50 
PC_IND,I_IUWIKI,UNE,NO	58 u	65 u	75 u
PC_IND,I_IUWIKI,UNE,PL	17 	24 	20 
